user,item
0,63
0,24
0,46
0,37
0,49
0,42
0,25
0,8
0,65
0,44
0,47
0,2
0,0
1,104
1,136
1,91
1,87
1,0
1,96
1,132
1,68
1,102
1,144
1,76
1,72
1,178
1,118
1,73
1,120
1,166
1,100
1,122
1,128
1,139
1,77
1,169
1,86
1,151
1,70
1,67
2,197
2,199
3,276
3,228
3,88
3,223
3,274
3,207
3,227
3,204
3,260
3,264
3,224
3,217
3,0
3,219
3,267
3,212
4,289
4,281
5,325
5,307
5,304
5,318
5,320
5,292
5,316
5,328
6,311
6,348
6,355
6,322
6,394
6,379
6,360
6,331
6,282
6,367
6,374
6,380
6,392
6,366
6,350
7,404
7,400
8,418
8,350
8,287
8,404
8,416
9,436
9,443
9,423
9,473
9,407
9,440
9,454
9,439
9,445
9,441
9,451
9,448
9,482
9,472
9,441
10,150
10,41
11,496
11,497
11,518
11,522
11,520
11,508
11,517
11,434
12,299
12,378
12,311
13,545
13,553
13,513
14,527
14,524
15,565
15,566
16,570
16,356
17,457
17,280
17,280
17,302
18,600
18,380
18,380
18,402
18,342
19,626
19,639
19,328
19,14
19,620
19,625
19,628
19,651
19,638
19,643
19,634
19,15
20,674
20,657
20,405
20,660
20,674
20,301
20,697
20,605
20,352
20,662
20,685
20,667
20,668
20,656
20,363
20,677
20,678
20,658
20,423
21,913
21,393
21,801
21,885
21,922
21,613
21,937
21,678
21,821
21,781
21,478
21,691
21,815
21,961
21,962
21,762
21,807
21,901
21,539
21,386
21,309
21,894
21,473
21,514
21,687
21,748
21,280
21,718
21,778
21,907
21,696
21,424
21,433
21,561
21,896
21,737
21,661
21,449
21,472
21,783
21,876
21,704
21,745
21,851
21,673
21,793
21,898
21,471
21,457
21,292
21,909
21,436
21,777
21,648
21,902
21,942
21,481
21,875
21,787
21,8
21,715
21,647
21,767
21,430
21,322
21,736
21,918
21,751
21,967
21,323
21,763
21,642
21,703
21,764
21,732
21,819
21,956
21,439
21,808
21,721
21,911
21,372
21,740
21,923
21,642
21,883
21,378
21,586
21,768
21,557
21,900
21,925
21,611
21,945
21,944
21,20
21,774
21,332
21,376
22,602
22,996
22,584
22,792
22,968
22,979
22,838
22,6
22,973
22,808
22,982
22,984
22,983
22,302
22,971
23,1052
23,851
23,359
23,1004
23,919
23,322
23,1024
23,1041
23,288
23,1032
23,543
23,1013
23,453
23,540
23,594
23,381
23,1016
23,1050
23,319
23,999
23,1002
23,607
23,53
23,281
23,309
23,1
23,1044
23,549
23,330
23,911
23,1007
23,1038
23,1045
23,318
23,901
24,1002
24,714
24,370
24,557
24,639
24,305
24,344
24,307
24,1056
24,703
24,1059
24,1088
24,768
24,299
24,294
24,1067
24,443
24,607
24,640
24,972
24,708
24,1071
24,373
24,758
24,1076
24,1063
24,608
24,291
24,811
25,1108
25,1102
25,1097
25,982
25,608
25,1089
25,430
25,764
26,1117
26,1026
27,540
27,1049
27,284
27,1128
27,1133
27,311
27,353
27,346
27,925
27,397
27,547
27,1138
27,1038
27,598
27,1136
27,304
27,409
27,923
27,1046
27,1050
27,310
27,404
27,839
27,434
27,889
27,282
27,1046
27,1143
27,1131
27,402
27,1140
27,302
27,851
27,1142
27,707
27,559
27,1154
27,327
27,1152
27,1122
27,380
28,452
28,789
29,24
29,1171
29,1176
29,1175
30,564
30,1062
30,368
30,1197
30,402
30,499
30,748
30,1205
30,1182
30,458
30,850
30,404
30,1184
30,325
30,298
30,364
30,683
30,771
30,1031
30,1188
30,404
31,1207
31,1195
31,1117
31,936
31,589
31,702
31,755
31,359
31,309
32,365
32,353
32,668
32,350
32,1218
32,796
33,1227
33,495
33,1237
33,1222
33,541
33,774
33,1236
34,1250
34,11
34,534
34,1246
35,800
35,1020
35,1055
35,1215
35,404
36,748
36,1111
37,409
37,373
37,869
37,514
38,1217
38,373
38,896
38,1262
38,571
38,53
39,1266
39,433
39,812
39,314
40,316
40,549
40,1255
40,381
40,652
41,347
41,733
41,1121
41,1274
41,1273
41,1142
42,875
42,316
42,430
43,918
43,384
43,597
43,1012
43,1281
43,588
43,609
43,1001
44,883
44,1288
44,457
44,333
45,414
45,495
46,458
46,436
46,378
46,707
46,429
46,748
46,443
46,344
46,423
46,1131
46,327
46,1260
46,665
46,983
46,949
46,1160
46,1305
46,1303
46,557
46,358
46,548
46,1310
46,330
46,1318
46,1187
46,289
46,459
46,1304
46,322
46,820
46,385
47,577
47,1268
47,7
47,1323
47,298
47,1326
47,590
47,292
48,1058
48,327
49,606
49,1208
50,347
50,550
50,687
50,1335
50,641
50,953
50,890
50,298
50,1333
50,609
50,913
50,856
50,1010
50,1332
50,660
50,477
50,1021
50,375
51,569
51,988
51,1348
51,1341
51,468
51,290
51,438
51,745
52,334
52,303
52,688
52,1212
52,1350
52,439
52,812
52,907
52,465
52,322
52,846
52,669
52,44
52,642
52,881
52,1074
53,529
53,1002
54,1356
54,611
54,702
54,54
55,589
55,326
56,1359
56,795
56,342
56,375
57,447
57,472
57,988
57,418
57,604
58,1348
58,813
58,316
58,722
58,1344
58,892
58,364
59,14
59,528
59,607
59,495
59,761
59,618
59,851
59,384
59,701
59,1375
59,358
59,359
59,1187
59,353
59,1374
59,609
59,527
60,1344
60,896
60,426
60,865
60,54
60,425
60,1395
60,1418
60,751
60,330
60,720
60,293
60,1192
60,655
60,380
60,778
60,598
60,457
60,1412
60,462
60,360
60,979
60,400
60,391
60,579
60,1416
60,1419
60,838
60,1192
60,836
60,305
60,772
60,340
60,1404
60,1219
60,519
60,354
60,928
60,44
60,1392
60,1219
60,1377
60,332
60,1408
60,1385
61,1420
61,1068
61,1422
61,1423
61,1426
62,387
62,441
62,340
62,1434
62,1187
62,436
62,968
62,430
62,1404
62,1264
62,291
62,744
62,1420
62,1322
62,414
62,1430
62,1437
62,661
62,675
62,874
62,920
62,887
62,920
62,816
63,108
63,1538
63,1591
63,1517
63,90
63,1592
63,1580
63,92
63,1476
63,1492
63,1474
63,172
63,1561
63,1589
63,1464
63,1454
63,1485
63,1586
63,1489
63,1460
63,525
63,1598
63,1475
63,1518
63,1575
63,1465
63,1494
63,346
63,1524
63,1584
63,1522
63,1470
63,1547
63,1485
63,1472
63,1582
63,1556
63,632
63,1504
63,1531
63,1451
63,169
63,184
63,1141
64,482
64,7
64,4
64,1314
64,760
64,356
64,879
64,742
64,1605
64,968
64,573
64,327
64,601
64,450
64,423
64,1599
64,1355
64,528
64,869
64,423
64,479
64,406
64,1336
64,424
64,1047
64,295
65,1336
65,557
65,1425
65,303
65,1286
65,1613
65,406
65,1617
65,353
65,386
65,601
65,669
65,812
65,1615
65,311
65,820
65,1337
65,627
65,363
65,1295
65,1622
65,1611
65,1399
65,1512
65,1619
66,1633
66,524
66,361
66,695
66,696
66,739
66,393
66,474
66,1625
66,4
67,908
67,952
67,327
67,326
67,539
67,568
67,593
67,1
67,560
68,1607
68,1642
68,596
68,1062
68,348
68,370
68,309
68,558
68,393
68,388
68,405
68,557
68,763
68,463
68,1351
68,1350
68,1329
68,581
68,312
68,1084
68,380
68,14
68,1043
68,347
68,1094
68,797
68,1654
68,1366
68,463
68,45
68,1638
68,573
68,597
68,346
69,386
69,403
69,853
69,860
69,53
69,380
69,352
69,1217
69,500
69,809
69,695
69,653
69,1065
69,658
69,360
69,1567
69,1309
69,312
69,747
69,971
69,1657
69,314
69,705
69,590
69,364
69,1656
69,1395
69,573
69,1022
69,1203
69,1055
69,1666
69,1670
69,1270
69,381
69,1306
70,45
70,302
71,1292
71,1296
71,748
71,760
71,713
71,342
72,1679
72,1138
72,302
72,866
72,302
72,361
72,450
72,1218
72,1344
73,993
73,1687
73,1272
73,718
